method,game,seed,logdir,wandb_url,source,run_completed,is_partial,x_axis_frames,x_axis_agent_actions,score_type,score_mean,score_std,score_min,score_max,eval_episodes,timestamp,frames_target,agent_actions_target,protocol_compatible_with_reference,notes
hts_locked_hier_x3,alien,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_v19_ab/hts_locked_hier_x3/alien/seed_0,https://wandb.ai/ttdat170703-ho-chi-minh-city-university-of-technology/hts-wm-atari-dev/runs/pwcjlqo1,v19_ab_hts,True,False,438668,109667,episode_score,640.0,,640.0,640.0,1,,440000,110000,true,
hts_locked_hier_x3,alien,1,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_v19_ab/hts_locked_hier_x3/alien/seed_1,https://wandb.ai/ttdat170703-ho-chi-minh-city-university-of-technology/hts-wm-atari-dev/runs/97oc1kc5,v19_ab_hts,True,False,437540,109385,episode_score,1820.0,,1820.0,1820.0,1,,440000,110000,true,
hts_locked_hier_x3,alien,2,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_v19_ab/hts_locked_hier_x3/alien/seed_2,https://wandb.ai/ttdat170703-ho-chi-minh-city-university-of-technology/hts-wm-atari-dev/runs/axxk7jll,v19_ab_hts,True,False,437496,109374,episode_score,790.0,,790.0,790.0,1,,440000,110000,true,
hts_locked_hier_x3,breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_v19_ab/hts_locked_hier_x3/breakout/seed_0_retry_no_video,https://wandb.ai/ttdat170703-ho-chi-minh-city-university-of-technology/hts-wm-atari-dev/runs/f6o2fnp3,v19_ab_hts,True,False,438888,109722,episode_score,11.0,,11.0,11.0,1,,440000,110000,true,retry_no_video logdir
hts_locked_hier_x3,breakout,1,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_v19_ab/hts_locked_hier_x3/breakout/seed_1,https://wandb.ai/ttdat170703-ho-chi-minh-city-university-of-technology/hts-wm-atari-dev/runs/c25vx5ov,v19_ab_hts,True,False,438564,109641,episode_score,7.0,,7.0,7.0,1,,440000,110000,true,
hts_locked_hier_x3,breakout,2,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_v19_ab/hts_locked_hier_x3/breakout/seed_2_retry_no_video,https://wandb.ai/ttdat170703-ho-chi-minh-city-university-of-technology/hts-wm-atari-dev/runs/14l8csg2,v19_ab_hts,True,False,439056,109764,episode_score,9.0,,9.0,9.0,1,,440000,110000,true,retry_no_video logdir
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,844.0,211.0,episode_score,2.0,,2.0,2.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,1756.0,439.0,episode_score,2.0,,2.0,2.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,2984.0,746.0,episode_score,4.0,,4.0,4.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,3516.0,879.0,episode_score,0.0,,0.0,0.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
