config_name,latent_anchor,latent_anchor_dim,latent_anchor_source,num_levels,head_dim,total_dictionary_width,sparse_active_budget,dense_active_dimensions,activation_mode,topk_per_level,decoder_count,flat_reconstruction,prefix_reconstruction,prefix_stop_gradient,reconstruction_loss_enabled,horizons,action_subsequence_encoder,temporal_loss,temporal_k_pos,temporal_temperature,far_negative_default,vc_loss,sparse_loss,beta_hier,alpha_sdyn,projector,projector_dim,predictor_hidden,action_units,training_regime,hier_module_instantiated,hier_loss_enabled,sdyn_module_instantiated,sdyn_loss_enabled,temp_module_instantiated,temp_loss_enabled,vc_module_instantiated,vc_loss_enabled,loss_enabled,gradient_expected,implementation_exists,debug_init_smoke_verified,size12m_init_verified,forward_verified,backward_verified,optimizer_step_verified,checkpoint_save_verified,checkpoint_reload_verified,artifact_write_verified,param_count_source,analytical_addon_params,actual_addon_params,actual_total_params,target_addon_params,relative_param_gap,selected_width,search_status,unit_test_status
dreamer_anchor,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,0,0,0,N/A,N/A,none,[],0,false,false,false,false,[],false,none,0,0.0,none,false,false,[],[],none,0,0,0,joint,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false,true,initialized_model,N/A,0,10498772,N/A,N/A,N/A,N/A,RT-01 pending
hts_full,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,6,32,192,48,N/A,sparse_topk,"[8, 8, 8, 8, 8, 8]",6,false,true,true,true,"[32, 16, 8, 4, 2, 1]",concat_actions_mlp,masked_infonce_projected_z1,4,0.1,none,true,level_topk+l1,"[0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667]","[0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667]",mlp_on_z1,64,256,128,joint,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,analytical_estimate,10158720,N/A,N/A,10158720,N/A,N/A,N/A,UT-01..UT-11 pass
flat_sae,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,1,192,192,48,N/A,sparse_topk,[48],1,true,false,N/A,true,[],false,none,0,0.0,none,false,topk+l1,[],[],flat_sparse_code,0,0,0,joint,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,true,analytical_estimate,1544896,N/A,N/A,1544896,N/A,N/A,N/A,not_run
flat_mh,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,1,192,192,N/A,192,dense,[],0,false,false,false,false,"[1, 2, 4, 8, 16, 32]",concat_actions_mlp,none,0,0.0,none,false,false,[],[],flat_dense_code,0,256,128,joint,false,false,true,true,false,false,false,false,true,true,true,true,false,true,false,false,true,false,true,analytical_estimate,5756352,N/A,N/A,5756352,N/A,N/A,N/A,not_run
flat_partition_dim_matched,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,6,32,192,N/A,192,dense_partitioned,[],1,true,false,N/A,true,[],false,none,0,0.0,none,false,false,[],[],six_equal_dense_partitions,192,0,0,joint,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,true,analytical_estimate,771264,N/A,N/A,771264,N/A,N/A,N/A,UT-15-P0 pending
sgf_style_flat_same_code,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,1,64,64,N/A,64,dense,[],0,false,false,false,false,[1],raw_a_t,none,0,0.0,none,true,false,[],[],dense_projector,64,256,action_dim,joint,false,false,true,true,false,false,true,true,true,true,true,true,false,true,false,false,true,false,true,analytical_estimate,1483840,N/A,N/A,1483840,N/A,N/A,N/A,not_run
recon_only_hierarchy,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,6,32,192,N/A,192,dense,[],6,false,true,true,true,[],false,none,0,0.0,none,false,false,"[0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667]",[],dense_heads,0,0,0,joint,true,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,true,analytical_estimate,5290176,N/A,N/A,5290176,N/A,N/A,N/A,not_run
matryoshka_only,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,6,32,192,48,N/A,sparse_topk,"[8, 8, 8, 8, 8, 8]",6,false,true,true,true,[],false,none,0,0.0,none,false,level_topk+l1,"[0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667]",[],sparse_heads,0,0,0,joint,true,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,true,analytical_estimate,5290176,N/A,N/A,5290176,N/A,N/A,N/A,not_run
dense_multistride_no_sparse,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,6,32,192,N/A,192,dense,[],6,false,true,true,true,"[32, 16, 8, 4, 2, 1]",concat_actions_mlp,masked_infonce_projected_z1,4,0.1,none,true,false,"[0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667]","[0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667, 0.1666666667]",mlp_on_z1,64,256,128,joint,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,analytical_estimate,10158720,N/A,N/A,10158720,N/A,N/A,N/A,RT-07 pending
larger_flat_param,rssm_repfeat,2560,dreamerv3.rssm.RSSM.loss,1,searched,searched,N/A,searched,dense,[],0,false,false,false,false,"[1, 2, 4, 8, 16, 32]",concat_actions_mlp,none,0,0.0,none,false,false,[],[],flat_dense_code,0,256,128,joint,false,false,true,true,false,false,false,false,true,true,true,true,false,true,false,false,true,false,true,target_placeholder,10158720,N/A,N/A,10158720,N/A,2648,analytical_selected_actual_count_pending,not_run
