game,seed,status,completed,progress_frames,progress_agent_actions,progress_source,latest_score_frame,latest_score,score_source,logdir,error_hint
alien,0,completed,True,437828,109457,metrics,437828,1080.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_0,
alien,1,completed,True,439040,109760,train_metrics,438808,720.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_1,
alien,2,completed,True,437140,109285,metrics,437140,880.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_2,
alien,3,completed,True,436412,109103,metrics,436412,600.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_3,
alien,4,completed,True,439220,109805,metrics,439220,2280.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_4,
amidar,0,completed,True,439020,109755,metrics,439020,171.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/amidar/seed_0,
amidar,1,completed,True,437276,109319,metrics,437276,94.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/amidar/seed_1,
amidar,2,completed,True,439120,109780,metrics,439120,127.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/amidar/seed_2,
amidar,3,completed,True,438988,109747,metrics,438988,150.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/amidar/seed_3,
amidar,4,completed,True,439916,109979,metrics,439916,51.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/amidar/seed_4,
assault,0,completed,True,438968,109742,metrics,438968,462.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/assault/seed_0,
assault,1,completed,True,438012,109503,metrics,438012,651.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/assault/seed_1,
assault,2,completed,True,437284,109321,metrics,437284,693.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/assault/seed_2,
assault,3,completed,True,439960,109990,train_metrics,436148,703.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/assault/seed_3,
assault,4,completed,True,437380,109345,metrics,437380,483.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/assault/seed_4,
asterix,0,completed,True,438840,109710,metrics,438840,600.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/asterix/seed_0,
asterix,1,completed,True,439360,109840,train_metrics,439008,800.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/asterix/seed_1,
asterix,2,completed,True,438740,109685,metrics,438740,300.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/asterix/seed_2,
asterix,3,completed,True,438364,109591,metrics,438364,700.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/asterix/seed_3,
asterix,4,completed,True,439788,109947,metrics,439788,850.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/asterix/seed_4,
bank_heist,0,completed,True,439496,109874,metrics,439496,30.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/bank_heist/seed_0,
bank_heist,1,completed,True,439468,109867,metrics,439468,80.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/bank_heist/seed_1,
bank_heist,2,completed,True,438756,109689,metrics,438756,40.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/bank_heist/seed_2,
bank_heist,3,completed,True,438444,109611,metrics,438444,40.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/bank_heist/seed_3,
bank_heist,4,completed,True,438340,109585,metrics,438340,40.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/bank_heist/seed_4,
battle_zone,0,completed,True,440000,110000,update_trace_v4,439992,13000.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/battle_zone/seed_0,
battle_zone,1,completed,True,440000,110000,update_trace_v4,435656,10000.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/battle_zone/seed_1,
battle_zone,2,completed,True,440000,110000,update_trace_v6,436804,11000.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/battle_zone/seed_2,
battle_zone,3,completed,True,440000,110000,update_trace_v6,438780,6000.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/battle_zone/seed_3,
battle_zone,4,completed,True,440000,110000,update_trace_v6,436668,9000.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/battle_zone/seed_4,
boxing,0,completed,True,440000,110000,update_trace_v6,437516,79.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/boxing/seed_0,
boxing,1,completed,True,440000,110000,update_trace_v6,439088,64.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/boxing/seed_1,
boxing,2,completed,True,440000,110000,update_trace_v6,439316,77.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/boxing/seed_2,
boxing,3,completed,True,440000,110000,update_trace_v6,438636,74.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/boxing/seed_3,
boxing,4,completed,True,440000,110000,update_trace_v6,438844,64.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/boxing/seed_4,
breakout,0,completed,True,440000,110000,update_trace_v6,438276,8.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,
breakout,1,completed,True,440000,110000,update_trace_v6,438820,9.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_1,
breakout,2,completed,True,440000,110000,update_trace_v6,439928,10.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_2,
breakout,3,partial,False,218760,54690,update_trace_v6,218008,0.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_3,interrupted/launcher stopped before target; no stdout traceback found
breakout,4,completed,True,440000,110000,update_trace_v6,439136,10.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_4,
chopper_command,0,completed,True,440000,110000,update_trace_v6,439972,1600.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/chopper_command/seed_0,
chopper_command,1,completed,True,440000,110000,update_trace_v6,436520,2900.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/chopper_command/seed_1,
chopper_command,2,completed,True,440000,110000,update_trace_v6,439640,1000.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/chopper_command/seed_2,
chopper_command,3,completed,True,440000,110000,update_trace_v6,439448,1500.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/chopper_command/seed_3,
chopper_command,4,completed,True,440000,110000,update_trace_v6,436816,1500.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/chopper_command/seed_4,
crazy_climber,0,completed,True,440000,110000,update_trace_v6,429696,96300.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/crazy_climber/seed_0,
crazy_climber,1,completed,True,440000,110000,update_trace_v6,431056,38300.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/crazy_climber/seed_1,
crazy_climber,2,completed,True,440000,110000,update_trace_v6,424184,62900.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/crazy_climber/seed_2,
crazy_climber,3,completed,True,440000,110000,update_trace_v6,435532,38400.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/crazy_climber/seed_3,
crazy_climber,4,completed,True,440000,110000,update_trace_v6,431848,29700.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/crazy_climber/seed_4,
demon_attack,0,completed,True,440000,110000,update_trace_v6,437652,520.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/demon_attack/seed_0,
demon_attack,1,completed,True,440000,110000,update_trace_v6,437628,50.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/demon_attack/seed_1,
demon_attack,2,completed,True,440000,110000,update_trace_v6,438528,150.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/demon_attack/seed_2,
demon_attack,3,completed,True,440000,110000,update_trace_v6,436388,325.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/demon_attack/seed_3,
demon_attack,4,completed,True,440000,110000,update_trace_v6,437952,90.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/demon_attack/seed_4,
