game,completed,partial,started_no_progress,missing,problem_seeds
alien,5,0,0,0,
amidar,5,0,0,0,
assault,5,0,0,0,
asterix,5,0,0,0,
bank_heist,5,0,0,0,
battle_zone,5,0,0,0,
boxing,5,0,0,0,
breakout,4,1,0,0,3
chopper_command,5,0,0,0,
crazy_climber,5,0,0,0,
demon_attack,5,0,0,0,
freeway,5,0,0,0,
frostbite,5,0,0,0,
gopher,5,0,0,0,
hero,5,0,0,0,
james_bond,5,0,0,0,
kangaroo,5,0,0,0,
krull,5,0,0,0,
kung_fu_master,5,0,0,0,
ms_pacman,5,0,0,0,
pong,5,0,0,0,
private_eye,5,0,0,0,
qbert,5,0,0,0,
road_runner,4,1,0,0,4
seaquest,0,2,0,3,"0,1,2,3,4"
up_n_down,0,0,0,5,"0,1,2,3,4"
