bin_index,game,num_seed_values,raw_frame_center,score_mean,score_sem
0,alien,5,11000.0,222.3253968253968,21.18949331886214
1,alien,5,33000.0,195.8373015873016,11.809070971860697
2,alien,5,55000.0,225.01666666666665,8.227676869363957
3,alien,5,77000.0,303.0340548340548,29.977507752904025
4,alien,5,99000.0,370.7878787878788,21.971923026663912
5,alien,5,121000.0,428.40555555555557,23.15272375518592
6,alien,5,143000.0,478.9166666666667,46.06691992212103
7,alien,5,165000.0,508.66666666666663,43.66844426690007
8,alien,5,187000.0,556.9412698412699,51.22401960437434
9,alien,5,209000.0,564.0,28.86939513236538
10,alien,5,231000.0,546.7642857142857,27.42582501131042
11,alien,5,253000.0,621.7071428571428,51.8203907545976
12,alien,5,275000.0,690.4325396825396,75.64387270262038
13,alien,5,297000.0,652.0833333333333,30.683945886202313
14,alien,5,319000.0,826.5,188.75386677422588
15,alien,5,341000.0,813.8690476190476,116.95944313251701
16,alien,5,363000.0,648.2777777777777,31.84883275958709
17,alien,5,385000.0,817.845238095238,75.75367424090881
18,alien,5,407000.0,869.952380952381,115.4771703443945
19,alien,5,429000.0,882.702380952381,119.25291298847097
0,amidar,5,11000.0,2.844444444444444,0.47307765655947276
1,amidar,5,33000.0,4.0955555555555545,0.9920852213493319
2,amidar,5,55000.0,23.047222222222224,5.754155235057167
3,amidar,5,77000.0,35.455,3.0933734831366286
4,amidar,5,99000.0,39.93388888888889,2.814962271966108
5,amidar,5,121000.0,48.75277777777778,3.758181199187437
6,amidar,5,143000.0,58.45055555555556,10.344767878939374
7,amidar,5,165000.0,70.6,16.152457673335316
8,amidar,5,187000.0,73.42283549783551,13.322139901543474
9,amidar,5,209000.0,75.2488888888889,11.915893567255996
10,amidar,5,231000.0,81.9595238095238,7.19698191972402
11,amidar,5,253000.0,90.47460317460317,10.60121599389696
12,amidar,5,275000.0,96.81785714285715,13.985576024415078
13,amidar,5,297000.0,91.94666666666667,14.047832405159408
14,amidar,5,319000.0,106.36666666666665,11.625746093142675
15,amidar,5,341000.0,105.90238095238097,12.60283736454566
16,amidar,5,363000.0,112.8607142857143,13.101384877725168
17,amidar,5,385000.0,105.50873015873017,11.02120407575395
18,amidar,5,407000.0,122.30634920634921,13.662602422798773
19,amidar,5,429000.0,117.56190476190477,12.156734553791075
0,assault,5,11000.0,242.725,11.1719649122256
1,assault,5,33000.0,244.95833333333334,17.356450930097687
2,assault,5,55000.0,416.7216666666667,29.87461534852327
3,assault,5,77000.0,467.785,32.70499778321351
4,assault,5,99000.0,451.3666666666667,21.281415992989437
5,assault,5,121000.0,473.5909090909091,53.81808966515452
6,assault,5,143000.0,443.9633333333333,44.78565256369002
7,assault,5,165000.0,472.1833333333333,32.46773098871486
8,assault,5,187000.0,533.7333333333333,30.987689311868493
9,assault,5,209000.0,573.3714285714286,11.669450785390591
10,assault,5,231000.0,522.98,13.19122132328921
11,assault,5,253000.0,600.0,10.300485425454472
12,assault,5,275000.0,602.5600000000001,14.865600559681402
13,assault,5,297000.0,585.0699999999999,20.742707634250646
14,assault,5,319000.0,619.2533333333333,27.133706139944998
15,assault,5,341000.0,641.0266666666666,15.1975974709455
16,assault,5,363000.0,574.8857142857144,29.885527177780844
17,assault,5,385000.0,618.96,21.611230413838076
18,assault,5,407000.0,675.1000000000001,20.1921568932098
