game,seed,run_dir,score_completed,latest_score_raw_frames,metrics_latest_step,metrics_rows,training_reached_final_region,has_train_metrics
alien,0,seed_0,True,437828.0,437828.0,213,True,True
alien,1,seed_1,True,438808.0,439040.0,239,True,True
alien,2,seed_2,True,437140.0,437140.0,216,True,True
alien,3,seed_3,True,436412.0,436412.0,227,True,True
alien,4,seed_4,True,439220.0,439220.0,206,True,True
amidar,0,seed_0,True,439020.0,439020.0,212,True,True
amidar,1,seed_1,True,437276.0,437276.0,210,True,True
amidar,2,seed_2,True,439120.0,439120.0,210,True,True
amidar,3,seed_3,True,438988.0,438988.0,192,True,True
amidar,4,seed_4,True,439916.0,439916.0,202,True,True
assault,0,seed_0,True,438968.0,438968.0,154,True,True
assault,1,seed_1,True,438012.0,438012.0,156,True,True
assault,2,seed_2,True,437284.0,437284.0,143,True,True
assault,3,seed_3,True,436148.0,439960.0,153,True,True
assault,4,seed_4,True,437380.0,437380.0,175,True,True
asterix,0,seed_0,True,438840.0,438840.0,343,True,True
asterix,1,seed_1,True,439008.0,439360.0,338,True,True
asterix,2,seed_2,True,438740.0,438740.0,395,True,True
asterix,3,seed_3,True,438364.0,438364.0,297,True,True
asterix,4,seed_4,True,439788.0,439788.0,369,True,True
bank_heist,0,seed_0,True,439496.0,439496.0,220,True,True
bank_heist,1,seed_1,True,439468.0,439468.0,211,True,True
bank_heist,2,seed_2,True,438756.0,438756.0,208,True,True
bank_heist,3,seed_3,True,438444.0,438444.0,222,True,True
bank_heist,4,seed_4,True,438340.0,438340.0,204,True,True
battle_zone,0,seed_0,True,439992.0,439992.0,121,True,True
battle_zone,1,seed_1,True,435656.0,435656.0,107,True,True
battle_zone,2,seed_2,True,436804.0,436804.0,117,True,True
battle_zone,3,seed_3,True,438780.0,438780.0,113,True,True
battle_zone,4,seed_4,True,436668.0,436668.0,114,True,True
boxing,0,seed_0,True,437516.0,437516.0,115,True,True
boxing,1,seed_1,True,439088.0,439088.0,93,True,True
boxing,2,seed_2,True,439316.0,439316.0,97,True,True
boxing,3,seed_3,True,438636.0,439400.0,155,True,True
boxing,4,seed_4,True,438844.0,438844.0,142,True,True
breakout,0,seed_0,True,438276.0,438276.0,363,True,True
breakout,1,seed_1,True,438820.0,438820.0,382,True,True
breakout,2,seed_2,True,439928.0,439928.0,305,True,True
breakout,3,seed_3_repair_no_video,True,439056.0,439056.0,303,True,True
breakout,4,seed_4,True,439136.0,439680.0,372,True,True
chopper_command,0,seed_0,True,439972.0,439972.0,201,True,True
chopper_command,1,seed_1,True,436520.0,436520.0,174,True,True
chopper_command,2,seed_2,True,439640.0,439640.0,208,True,True
chopper_command,3,seed_3,True,439448.0,439448.0,168,True,True
chopper_command,4,seed_4,True,436816.0,436816.0,194,True,True
crazy_climber,0,seed_0,True,429696.0,439200.0,65,True,True
crazy_climber,1,seed_1,True,431056.0,435320.0,68,True,True
crazy_climber,2,seed_2,True,424184.0,433840.0,69,True,True
crazy_climber,3,seed_3,True,435532.0,435532.0,70,True,True
crazy_climber,4,seed_4,True,431848.0,432520.0,66,True,True
demon_attack,0,seed_0,True,437652.0,437652.0,145,True,True
demon_attack,1,seed_1,True,437628.0,439400.0,152,True,True
demon_attack,2,seed_2,True,438528.0,438528.0,129,True,True
demon_attack,3,seed_3,True,436388.0,436388.0,141,True,True
demon_attack,4,seed_4,True,437952.0,437952.0,138,True,True
freeway,0,seed_0,True,433616.0,433616.0,86,True,True
freeway,1,seed_1,True,433596.0,439840.0,87,True,True
freeway,2,seed_2,True,433604.0,437920.0,87,True,True
freeway,3,seed_3,True,433580.0,433580.0,86,True,True
freeway,4,seed_4,True,433676.0,433676.0,86,True,True
frostbite,0,seed_0,True,436908.0,436908.0,194,True,True
frostbite,1,seed_1,True,439480.0,439480.0,214,True,True
frostbite,2,seed_2,True,438008.0,438008.0,190,True,True
frostbite,3,seed_3,True,438940.0,438940.0,265,True,True
frostbite,4,seed_4,True,437536.0,438360.0,192,True,True
gopher,0,seed_0,True,439072.0,439072.0,133,True,True
gopher,1,seed_1,True,438872.0,438872.0,132,True,True
gopher,2,seed_2,True,437940.0,437940.0,132,True,True
gopher,3,seed_3,True,437648.0,437648.0,130,True,True
gopher,4,seed_4,True,437392.0,437392.0,132,True,True
hero,0,seed_0,True,439128.0,439128.0,205,True,True
hero,1,seed_1,True,439152.0,439152.0,203,True,True
hero,2,seed_2,True,434320.0,434320.0,195,True,True
hero,3,seed_3,True,439340.0,439340.0,166,True,True
hero,4,seed_4,True,435140.0,435140.0,211,True,True
james_bond,0,seed_0,True,436192.0,436192.0,152,True,True
james_bond,1,seed_1,True,436824.0,436824.0,185,True,True
james_bond,2,seed_2,True,433188.0,438360.0,141,True,True
james_bond,3,seed_3,True,437984.0,438960.0,219,True,True
james_bond,4,seed_4,True,438020.0,438020.0,215,True,True
kangaroo,0,seed_0,True,438672.0,438672.0,247,True,True
kangaroo,1,seed_1,True,438220.0,438220.0,256,True,True
kangaroo,2,seed_2,True,438500.0,438500.0,224,True,True
kangaroo,3,seed_3,True,439648.0,439648.0,253,True,True
kangaroo,4,seed_4,True,439696.0,439696.0,254,True,True
krull,0,seed_0,True,434584.0,437200.0,110,True,True
krull,1,seed_1,True,435600.0,439720.0,111,True,True
krull,2,seed_2,True,434708.0,438120.0,114,True,True
krull,3,seed_3,True,436696.0,436696.0,114,True,True
krull,4,seed_4,True,436076.0,436076.0,107,True,True
kung_fu_master,0,seed_0,True,437588.0,438480.0,96,True,True
kung_fu_master,1,seed_1,True,428368.0,439640.0,76,True,True
kung_fu_master,2,seed_2,True,438740.0,438740.0,90,True,True
kung_fu_master,3,seed_3,True,436032.0,436032.0,84,True,True
kung_fu_master,4,seed_4,True,432592.0,432592.0,87,True,True
ms_pacman,0,seed_0,True,437852.0,439360.0,186,True,True
ms_pacman,1,seed_1,True,440000.0,440000.0,204,True,True
ms_pacman,2,seed_2,True,438280.0,438280.0,204,True,True
ms_pacman,3,seed_3,True,437708.0,437708.0,200,True,True
ms_pacman,4,seed_4,True,439832.0,439832.0,194,True,True
pong,0,seed_0,True,434476.0,434476.0,100,True,True
pong,1,seed_1,True,436772.0,436772.0,101,True,True
pong,2,seed_2,True,434000.0,439120.0,104,True,True
pong,3,seed_3,True,427080.0,438800.0,97,True,True
pong,4,seed_4,True,433008.0,433008.0,105,True,True
private_eye,0,seed_0,True,431216.0,431216.0,74,True,True
private_eye,1,seed_1,True,431140.0,431140.0,74,True,True
private_eye,2,seed_2,True,431168.0,434360.0,75,True,True
private_eye,3,seed_3,True,431244.0,434760.0,75,True,True
private_eye,4,seed_4,True,431216.0,431216.0,75,True,True
qbert,0,seed_0,True,437544.0,438200.0,260,True,True
qbert,1,seed_1,True,437984.0,437984.0,290,True,True
qbert,2,seed_2,True,438184.0,439680.0,282,True,True
qbert,3,seed_3,True,438960.0,440000.0,321,True,True
qbert,4,seed_4,True,439076.0,439076.0,299,True,True
road_runner,0,seed_0,True,439712.0,439712.0,176,True,True
road_runner,1,seed_1,True,437816.0,437816.0,174,True,True
road_runner,2,seed_2,True,436792.0,436792.0,187,True,True
road_runner,3,seed_3,True,436680.0,436680.0,188,True,True
road_runner,4,seed_4_repair_no_video,True,438576.0,438576.0,168,True,True
seaquest,0,seed_0_repair_no_video,True,438008.0,438008.0,119,True,True
seaquest,1,seed_1_repair_no_video,True,437720.0,437720.0,127,True,True
seaquest,2,seed_2_repair_no_video,True,438304.0,438304.0,114,True,True
seaquest,3,seed_3_repair_no_video,True,437704.0,437704.0,118,True,True
seaquest,4,seed_4_repair_no_video,True,436876.0,436876.0,129,True,True
up_n_down,0,seed_0_repair_no_video,True,436704.0,436704.0,73,True,True
up_n_down,1,seed_1_repair_no_video,True,434988.0,434988.0,72,True,True
up_n_down,2,seed_2_repair_no_video,True,437620.0,438240.0,173,True,True
up_n_down,3,seed_3_repair_no_video,True,436296.0,436296.0,66,True,True
up_n_down,4,seed_4_repair_no_video,False,411944.0,425000.0,80,True,True
