action_repeat,agent_actions,agent_actions_per_second,checkpoint_path,checkpoint_reload,checkpoint_save,code_commit,condition,config_hash,expected_updates_per_agent_action,failure_reason,final_eval_episodes,finite,frames,method,model_size,no_oom,optimizer_updates,optimizer_updates_execute,pass,peak_memory_mb,periodic_eval_count,realized_updates_per_agent_action,resolved_env_id,resume_pass,seed,task,training_starts,update_rate_pass,updates_per_second,wall_clock_seconds
4,6130,11.40358589865082,/tmp/hts_gate_c_v8/gate_c_v8_c2/breakout/size1m/dreamer_anchor/seed_0/ckpt/20260611T160235F675167,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,5ab25c9f8a3a56d1,0.25,,5,True,24520,dreamer_anchor,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_breakout,True,0,breakout,True,True,2.3458273765413837,537.55
4,6130,14.424166919478669,/tmp/hts_gate_c_v8/gate_c_v8_c2/breakout/size1m/hts_full/seed_0/ckpt/20260611T160940F530334,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,43ed786f82867eb7,0.25,,5,True,24520,hts_full,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_breakout,True,0,breakout,True,True,2.967189965002056,424.981
4,6130,16.91314068166315,/tmp/hts_gate_c_v8/gate_c_v8_c2/breakout/size1m/flat_mh/seed_0/ckpt/20260611T161543F236154,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,e0c278887d85e634,0.25,,5,True,24520,flat_mh,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_breakout,True,0,breakout,True,True,3.479195823748325,362.44
4,6130,16.589470756539725,/tmp/hts_gate_c_v8/gate_c_v8_c2/breakout/size1m/larger_flat_param/seed_0/ckpt/20260611T162152F292160,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,d3123002fdd1d31c,0.25,,5,True,24520,larger_flat_param,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_breakout,True,0,breakout,True,True,3.4126138048934083,369.511
4,6130,9.733505031536817,/tmp/hts_gate_c_v8/gate_c_v8_c2/breakout/size1m/matryoshka_only/seed_0/ckpt/20260611T163222F605712,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,462c97a0f4cb8937,0.25,,5,True,24520,matryoshka_only,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_breakout,True,0,breakout,True,True,2.0022756679882425,629.783
4,6130,13.535406951293263,/tmp/hts_gate_c_v8/gate_c_v8_c2/breakout/size1m/dense_multistride_no_sparse/seed_0/ckpt/20260611T163955F498225,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,21ff7b518dcf5819,0.25,,5,True,24520,dense_multistride_no_sparse,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_breakout,True,0,breakout,True,True,2.7843634854128556,452.886
4,6130,14.027799882801279,/tmp/hts_gate_c_v8/gate_c_v8_c2/breakout/size1m/hts_no_temp/seed_0/ckpt/20260611T164712F613942,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,1906fc347066c07d,0.25,,5,True,24520,hts_no_temp,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_breakout,True,0,breakout,True,True,2.885653450605614,436.989
4,6130,13.30559199296408,/tmp/hts_gate_c_v8/gate_c_v8_c2/breakout/size1m/hts_no_sdyn/seed_0/ckpt/20260611T165453F416524,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,b472133d36d1a3cf,0.25,,5,True,24520,hts_no_sdyn,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_breakout,True,0,breakout,True,True,2.7370883365624317,460.709
4,6130,10.712687528364066,/tmp/hts_gate_c_v8/gate_c_v8_c2/alien/size1m/dreamer_anchor/seed_0/ckpt/20260611T170426F122610,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,dc399c2badb0849b,0.25,,5,True,24520,dreamer_anchor,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_alien,True,0,alien,True,True,2.2037029320174697,572.219
4,6130,12.848342339126207,/tmp/hts_gate_c_v8/gate_c_v8_c2/alien/size1m/hts_full/seed_0/ckpt/20260611T171222F549583,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c2,dda4b4ee3312828d,0.25,,5,True,24520,hts_full,size1m,True,1261,True,True,,1,0.25004957366646835,atari100k_alien,True,0,alien,True,True,2.643027681833303,477.104
