method,task,model_size,actual_total_params,peak_memory_mb,updates_per_second,agent_actions_per_second,relative_memory_vs_anchor,relative_updates_per_second_vs_anchor,relative_agent_actions_per_second_vs_anchor,wall_clock_per_1000_agent_actions
dreamer_anchor,breakout,size1m,10492616,,0.5603352942468214,4.572851251899347,,0.23886467514628576,0.40100116687334025,218.68215962441315
hts_full,breakout,size1m,20554568,,0.7447342010080593,6.077715893284162,,0.3174718687553526,0.5329653275118688,164.53568075117371
dense_multistride_no_sparse,breakout,size1m,20554568,,0.7565683670874013,6.174293570483389,,0.322516641528356,0.5414343896172065,161.9619718309859
larger_flat_param,breakout,size1m,20555808,,0.9145637720827992,7.463681358376867,,0.38986831734874033,0.6545030155172427,133.98215962441316
dreamer_anchor,breakout,size1m,10492616,,2.3458273765413837,11.40358589865082,,1.0,1.0,87.69168026101141
hts_full,breakout,size1m,20554568,,2.967189965002056,14.424166919478669,,1.2648799287937333,1.2648799287937333,69.32805872756934
larger_flat_param,breakout,size1m,20555808,,3.4126138048934083,16.589470756539725,,1.4547591348877775,1.4547591348877775,60.27911908646004
dense_multistride_no_sparse,breakout,size1m,20554568,,2.7843634854128556,13.535406951293263,,1.1869430433189148,1.1869430433189145,73.88026101141925
dreamer_anchor,alien,size1m,10492616,,2.2037029320174697,10.712687528364066,,1.0,1.0,93.347308319739
hts_full,alien,size1m,20554568,,2.643027681833303,12.848342339126207,,1.199357519306668,1.199357519306668,77.83099510603589
larger_flat_param,alien,size1m,20555808,,3.047048074672442,14.812374859430667,,1.3826945684929037,1.382694568492904,67.51109298531811
dense_multistride_no_sparse,alien,size1m,20554568,,2.857389038657879,13.890400322738143,,1.2966307741134444,1.2966307741134446,71.99216965742251
dreamer_anchor,breakout,size12m,10492616,,0.2784536429519822,3.337348808909787,,1.0,1.0,299.63926380368093
hts_full,breakout,size12m,20554568,,0.3712278116309253,4.449274507047119,,1.3331763509911825,1.3331763509911825,224.7558282208589
larger_flat_param,breakout,size12m,20555808,,0.4575214730276025,5.483529419374942,,1.643079502129191,1.643079502129191,182.36441717791413
dense_multistride_no_sparse,breakout,size12m,20554568,,0.3770531230834432,4.519092578132445,,1.354096570927118,1.354096570927118,221.2834355828221
