method,metric,mean,std,stderr,ci95_low,ci95_high,seed_count
hts_full,prefix_nrmse_l1,1.0042107674122542,0.0015889207495881925,0.0007105869613878239,1.0028945707845787,1.0056466504128294,5
hts_full,prefix_nrmse_l6,1.0063523793786113,0.0050067636792982964,0.0022390927868375893,1.0019081479359853,1.0108647429782853,5
hts_full,marginal_prefix_gain_l6,-0.0014462574691065156,0.0047499458516994525,0.002124240362768622,-0.005566388393976629,0.0029463490628222067,5
hts_full,prefix_reconstruction_improves,0.4,0.48989794855663565,0.21908902300206645,0.0,0.8,5
hts_full,predictive_utility_per_active_feature,0.9891985283250433,0.0010100256743664823,0.0004516972133807042,0.9882868664647969,0.9899841454247236,5
hts_full,factor_probe_accuracy,0.6351577758789062,0.025064549522538542,0.011209207311561215,0.6155914306640625,0.6575103759765625,5
hts_full,factor_fast_accuracy,0.5275390625,0.047949366365349244,0.021443608534192585,0.482220458984375,0.5616725158691406,5
hts_full,factor_mid_accuracy,0.53876953125,0.019354310602515884,0.008655510832974085,0.52257080078125,0.5556820678710938,5
hts_full,factor_slow_accuracy,0.491497802734375,0.06572500340888682,0.029393115088735263,0.442510986328125,0.55899658203125,5
hts_full,factor_context_accuracy,0.98282470703125,0.01918869405317721,0.00858144486047004,0.9639404296875,0.99793701171875,5
hts_full,boundary_precision,0.3956334563345633,0.016996437966502954,0.007601038133691779,0.3800707257072571,0.4097170971709717,5
hts_full,boundary_recall,0.71796875,0.030843982291890417,0.013793848220293345,0.6897265624999999,0.7435267857142858,5
hts_full,boundary_f1,0.5101506740681998,0.021916104784721495,0.00980118002012913,0.4900832672482156,0.5283108643933386,5
hts_full,boundary_detection_delay,0.0,0.0,0.0,0.0,0.0,5
hts_full,false_change_rate,0.6043665436654366,0.01699643796650298,0.007601038133691792,0.5902829028290283,0.6199292742927429,5
hts_full,revisit_similarity,0.78096976109163,0.03066048415688138,0.013711785359568419,0.7555043868267356,0.8097227984939886,5
hts_full,same_macro_distant_similarity,0.78096976109163,0.03066048415688138,0.013711785359568419,0.7555043868267356,0.8097227984939886,5
hts_full,different_macro_similarity,-0.030075746919996944,0.025417989242963453,0.01136727035972494,-0.0550836175317149,-0.009002010694269428,5
hts_full,nuisance_sensitivity,0.1662353515625,0.024967821094388228,0.011165949043421053,0.1445367431640625,0.187908935546875,5
hts_full,effective_rank,7.591999435424805,0.024805421196602905,0.011093321601223654,7.5738390445709225,7.614934069315593,5
hts_full,alive_feature_ratio,0.9998966217041015,5.890520641043376e-06,2.634320915247725e-06,0.9998917897542319,0.999902089436849,5
hts_full,dead_feature_ratio,0.00010337829589841529,5.890520641043376e-06,2.634320915247725e-06,9.791056315100466e-05,0.00010821024576823657,5
hts_full,topk_utilization_entropy,0.001693877372982319,0.0005639794555944044,0.00025221928012448245,0.001213900234817683,0.002164416597415181,5
hts_full,active_count_audit,7.999822998046875,6.51677139406208e-05,2.9143887661897757e-05,7.99976806640625,7.9998779296875,5
hts_full,learning_rate,0.05,0.0,0.0,0.05,0.05,5
hts_full,batch_size,32.0,0.0,0.0,32.0,32.0,5
hts_full,sequence_length,64.0,0.0,0.0,64.0,64.0,5
hts_full,optimizer_updates,250.0,0.0,0.0,250.0,250.0,5
hts_full,lambda_hier,1.0,0.0,0.0,1.0,1.0,5
hts_full,lambda_sdyn,1.0,0.0,0.0,1.0,1.0,5
hts_full,lambda_temp,0.01,0.0,0.0,0.01,0.01,5
hts_full,lambda_vc,0.01,0.0,0.0,0.01,0.01,5
hts_full,lambda_sparse,1.0,0.0,0.0,1.0,1.0,5
hts_full,development_candidate_only,1.0,0.0,0.0,1.0,1.0,5
hts_full,initial_loss,1.225524091720581,0.005306253459250425,0.002373028688145472,1.2208957195281982,1.2299938571453095,5
hts_full,final_loss,1.073207187652588,0.009327364025547244,0.004171324002401945,1.063906717300415,1.0791643619537354,5
hts_full,checkpoint_load_pass,1.0,0.0,0.0,1.0,1.0,5
hts_full,model_derived_metrics,1.0,0.0,0.0,1.0,1.0,5
hts_full,no_evaluation_label_leak_training,1.0,0.0,0.0,1.0,1.0,5
hts_full,wall_clock_seconds,40.6416,7.357792402616427,3.2905047953163664,36.7404,47.96069,5
flat_sae,prefix_nrmse_l1,1.0003873074052076,0.0002793534526695375,0.00012493066198367118,1.000163222419679,1.0006564603545425,5
flat_sae,prefix_nrmse_l6,1.0018667384304176,0.002516864453095892,0.001125576001455049,0.9999835514706383,1.0043766705401946,5
flat_sae,marginal_prefix_gain_l6,-0.0008742124555716658,0.003216641806878823,0.0014385259478897597,-0.0039642841386572595,0.001590846101223331,5
flat_sae,prefix_reconstruction_improves,0.2,0.4,0.17888543819998318,0.0,0.6,5
flat_sae,predictive_utility_per_active_feature,0.992759304533908,0.00032417423842405273,0.00014497512673408122,0.9924963644550255,0.9930223621319365,5
flat_sae,factor_probe_accuracy,0.5269882202148437,0.031527051290134674,0.014099325962972715,0.5019790649414062,0.553753662109375,5
flat_sae,factor_fast_accuracy,0.52740478515625,0.04753266162143011,0.02125725250740262,0.4822021484375,0.561431884765625,5
flat_sae,factor_mid_accuracy,0.53912353515625,0.01874756201152768,0.008384164614033717,0.5234072875976563,0.5550689697265625,5
