dataset_manifest_hash,method,seed,prefix_nrmse_l1,prefix_nrmse_l6,marginal_prefix_gain_l6,prefix_reconstruction_improves,predictive_utility_per_active_feature,factor_probe_accuracy,factor_fast_accuracy,factor_mid_accuracy,factor_slow_accuracy,factor_context_accuracy,boundary_precision,boundary_recall,boundary_f1,boundary_detection_delay,false_change_rate,revisit_similarity,same_macro_distant_similarity,different_macro_similarity,nuisance_sensitivity,effective_rank,alive_feature_ratio,dead_feature_ratio,topk_utilization_entropy,active_count_audit,run_id,optimizer,learning_rate,batch_size,sequence_length,optimizer_updates,checkpoint_schedule,evaluation_schedule,lambda_hier,lambda_sdyn,lambda_temp,lambda_vc,lambda_sparse,development_candidate_only,initial_loss,final_loss,checkpoint_path,checkpoint_load_pass,model_derived_metrics,no_evaluation_label_leak_training,wall_clock_seconds,config_hash,code_commit,artifact_origin
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,hts_full,0,1.002658980212996,1.0095912283633912,-0.0067215775117406285,False,0.9874142529763118,0.6027679443359375,0.438873291015625,0.527099609375,0.450225830078125,0.994873046875,0.41174661746617464,0.7472098214285714,0.5309278350515464,0.0,0.5882533825338253,0.7815365280419428,0.7815365280419428,-0.03155782040454794,0.1416015625,7.590713103612264,0.999902089436849,9.791056315100466e-05,0.0009428403803648343,7.999908447265625,synthetic_full_v9_hts_full_seed0,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,1.2221200466156006,1.0816130638122559,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_0/checkpoints/final.npz,True,True,True,55.344,dd7f7dc400862ae4,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,hts_full,1,1.0026407762903606,0.9983920160946743,0.006538036019925975,True,0.9894617889512075,0.621063232421875,0.5472412109375,0.5352783203125,0.451507568359375,0.950225830078125,0.3794587945879459,0.6886160714285714,0.48929421094369546,0.0,0.6205412054120542,0.7694819150868949,0.7694819150868949,-0.019875209880236406,0.19805908203125,7.569567124048869,0.9998881022135416,0.00011189778645837034,0.00252679311372212,7.999725341796875,synthetic_full_v9_hts_full_seed1,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,1.2327271699905396,1.0784406661987305,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_1/checkpoints/final.npz,True,True,True,37.293,04fc0c622f88b0da,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,hts_full,2,1.005061279420977,1.0047734630325131,0.0006194635809433358,True,0.9899250263026481,0.6302947998046875,0.522064208984375,0.511688232421875,0.51580810546875,0.97161865234375,0.4077490774907749,0.7399553571428571,0.5257731958762886,0.0,0.5922509225092251,0.7373733052619593,0.7373733052619593,-0.0746616857912634,0.185089111328125,7.637511412302653,0.9998963673909506,0.00010363260904944216,0.0020189721627553114,7.999786376953125,synthetic_full_v9_hts_full_seed2,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,1.2228593826293945,1.075714349746704,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_2/checkpoints/final.npz,True,True,True,37.293,c3e82925edf6d44e,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,hts_full,3,1.0038551369935453,1.0056855149039705,-0.0021653831080510333,False,0.9888871306114924,0.64422607421875,0.579681396484375,0.566925048828125,0.4302978515625,1.0,0.37084870848708484,0.6729910714285714,0.47819191118160187,0.0,0.6291512915129152,0.7839252072869838,0.7839252072869838,0.003557983576526832,0.173248291015625,7.592567205429077,0.9998925526936849,0.00010744730631506716,0.0012220078702386008,7.9998779296875,synthetic_full_v9_hts_full_seed3,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,1.2308546304702759,1.0751416683197021,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_3/checkpoints/final.npz,True,True,True,36.808,83f84b03a97c4dfa,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,hts_full,4,1.0068376641433916,1.0133196744985074,-0.005501826326610226,False,0.9903044427835569,0.6774368286132812,0.549835205078125,0.5528564453125,0.609649658203125,0.997406005859375,0.40836408364083643,0.7410714285714286,0.5265662172878668,0.0,0.5916359163591636,0.8325318497803685,0.8325318497803685,-0.02784200210046382,0.1331787109375,7.56963833173116,0.9999039967854818,9.600321451819216e-05,0.001758773337830729,7.99981689453125,synthetic_full_v9_hts_full_seed4,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,1.2190592288970947,1.0551261901855469,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_4/checkpoints/final.npz,True,True,True,36.47,9e2c1a7bb6317048,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,flat_sae,0,1.000014816265922,1.0001122867837222,0.0008324318020667132,False,0.9928993718601534,0.4887847900390625,0.439453125,0.52850341796875,0.452117919921875,0.535064697265625,0.21709717097170972,0.3939732142857143,0.2799365582870738,0.0,0.7829028290282903,0.3761930044285387,0.3761930044285387,0.0019944872148436386,0.4703369140625,7.6977667808532715,0.9998874664306641,0.0001125335693359375,0.008583751151210685,7.9989013671875,synthetic_full_v9_flat_sae_seed0,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,0.20029132068157196,0.17507724463939667,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_0/checkpoints/final.npz,True,True,True,28.793,908c068d77ab0072,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,flat_sae,1,1.000539725491429,1.0010795690029815,-0.001726898330784099,False,0.9931830499125142,0.49990081787109375,0.54632568359375,0.5364990234375,0.45208740234375,0.464691162109375,0.16420664206642066,0.29799107142857145,0.2117367168913561,0.0,0.8357933579335793,0.32462735356522715,0.32462735356522715,-0.018753524813669556,0.524871826171875,7.666125774383545,0.9998963673909506,0.00010363260904944216,0.008375419116459405,7.998931884765625,synthetic_full_v9_flat_sae_seed1,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,0.20165914297103882,0.17364144325256348,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_1/checkpoints/final.npz,True,True,True,28.728,03a0bb47230a22f5,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,flat_sae,2,1.0003084649791139,1.0023670105023774,-0.0005919809598773362,False,0.9929228756893848,0.5325241088867188,0.522613525390625,0.512115478515625,0.51422119140625,0.581146240234375,0.19403444034440345,0.3521205357142857,0.2501982553528945,0.0,0.8059655596555966,0.11471159882132602,0.11471159882132602,-0.03788340566057708,0.4755859375,7.759223620096843,0.9998893737792969,0.000110626220703125,0.006891097042624155,7.9991455078125,synthetic_full_v9_flat_sae_seed2,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,0.2044459879398346,0.17549273371696472,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_2/checkpoints/final.npz,True,True,True,28.084,282615bff3181ede,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,flat_sae,3,1.0002390072937184,0.9993068073913829,0.0034243699322593635,True,0.9922633883255644,0.5349502563476562,0.57940673828125,0.566253662109375,0.427276611328125,0.566864013671875,0.1565190651906519,0.28404017857142855,0.20182394924662964,0.0,0.843480934809348,0.18649416493773513,0.18649416493773513,0.00455278478639058,0.47265625,7.66068434715271,0.9998874664306641,0.0001125335693359375,0.006891097042624155,7.9991455078125,synthetic_full_v9_flat_sae_seed3,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,0.2016606628894806,0.17510715126991272,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_3/checkpoints/final.npz,True,True,True,29.071,dac6e72125f1d7ba,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,flat_sae,4,1.000834522995855,1.0064680184716246,-0.00630898472152297,False,0.9925278368819228,0.5787811279296875,0.549224853515625,0.55224609375,0.61260986328125,0.601043701171875,0.17097170971709716,0.31026785714285715,0.2204599524187153,0.0,0.8290282902829028,0.4245440977706967,0.4245440977706967,-0.02734976243640942,0.51220703125,7.738573710123698,0.9999059041341146,9.409586588537966e-05,0.005576403605532558,7.99932861328125,synthetic_full_v9_flat_sae_seed4,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,1.0,1.0,0.01,0.01,1.0,True,0.20471179485321045,0.1785406619310379,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_4/checkpoints/final.npz,True,True,True,27.719,fedc49b7b878bf31,e3f02248693a79dc8b0ebd62c93683888ddaccfe,native_writer
