method,seed,level,horizon,nrmse
hts_full,0,1,1,1.0110651275169653
hts_full,0,2,2,1.0130538618806075
hts_full,0,3,4,1.0155483294930001
hts_full,0,4,8,1.0093401732944238
hts_full,0,5,16,1.013847588254935
hts_full,0,6,32,1.014242330596743
hts_full,1,1,1,1.00884256995287
hts_full,1,2,2,1.0126172328430267
hts_full,1,3,4,1.0117920472625916
hts_full,1,4,8,1.010214049949481
hts_full,1,5,16,1.0110846569679481
hts_full,1,6,32,1.0100396987875406
hts_full,2,1,1,1.0102053898309455
hts_full,2,2,2,1.0092335124467493
hts_full,2,3,4,1.0071410333977964
hts_full,2,4,8,1.00954377444856
hts_full,2,5,16,1.0158797115798102
hts_full,2,6,32,1.009732352948094
hts_full,3,1,1,1.0083857045158546
hts_full,3,2,2,1.0048114615118007
hts_full,3,3,4,1.0145214868666717
hts_full,3,4,8,1.0110095436949378
hts_full,3,5,16,1.0153609881532568
hts_full,3,6,32,1.014073723390974
hts_full,4,1,1,1.0051682053743212
hts_full,4,2,2,1.0099396655816022
hts_full,4,3,4,1.0105054894487606
hts_full,4,4,8,1.006732505561177
hts_full,4,5,16,1.0098924767724404
hts_full,4,6,32,1.0171707761900217
flat_sae,0,1,1,1.0054358737319071
flat_sae,0,2,2,1.0074909728814678
flat_sae,0,3,4,1.0065297880926058
flat_sae,0,4,8,1.007352587722016
flat_sae,0,5,16,1.0083257906345595
flat_sae,0,6,32,1.0084599341033
flat_sae,1,1,1,1.0061542217275545
flat_sae,1,2,2,1.005830792810828
flat_sae,1,3,4,1.0076358089455428
flat_sae,1,4,8,1.0079838043209717
flat_sae,1,5,16,1.0064444240670436
flat_sae,1,6,32,1.0077637666153298
flat_sae,2,1,1,1.006480920280871
flat_sae,2,2,2,1.0050975105291349
flat_sae,2,3,4,1.007029423910959
flat_sae,2,4,8,1.007742204687548
flat_sae,2,5,16,1.0092966959646343
flat_sae,2,6,32,1.0077970815611237
flat_sae,3,1,1,1.006127180949271
flat_sae,3,2,2,1.005326208353312
flat_sae,3,3,4,1.0087865442880601
flat_sae,3,4,8,1.0083067913949157
flat_sae,3,5,16,1.0096789783399784
flat_sae,3,6,32,1.0092519814750542
flat_sae,4,1,1,1.0054060935283724
flat_sae,4,2,2,1.0082748903460255
flat_sae,4,3,4,1.0079868972204484
flat_sae,4,4,8,1.0066068454738588
flat_sae,4,5,16,1.0074412213841681
flat_sae,4,6,32,1.0100356338339425
flat_mh,0,1,1,1.0048210053159008
flat_mh,0,2,2,1.0069658869188478
flat_mh,0,3,4,1.0058011009758498
flat_mh,0,4,8,1.0080668707640652
flat_mh,0,5,16,1.009609520654583
flat_mh,0,6,32,1.0096583000977615
flat_mh,1,1,1,1.005768139504282
flat_mh,1,2,2,1.0061492730883916
flat_mh,1,3,4,1.0060939543720335
flat_mh,1,4,8,1.0076249396130954
flat_mh,1,5,16,1.0058696749756804
flat_mh,1,6,32,1.0086353456879182
flat_mh,2,1,1,1.0061036749132466
flat_mh,2,2,2,1.0054168744922634
flat_mh,2,3,4,1.0059543320527908
flat_mh,2,4,8,1.0057946500712267
flat_mh,2,5,16,1.0109345187904841
flat_mh,2,6,32,1.0076618776697053
flat_mh,3,1,1,1.0051571593047608
flat_mh,3,2,2,1.004977417660875
flat_mh,3,3,4,1.0074405144357161
flat_mh,3,4,8,1.0103666624465264
flat_mh,3,5,16,1.0111363525734904
flat_mh,3,6,32,1.010279265944165
flat_mh,4,1,1,1.005028848160748
flat_mh,4,2,2,1.007472150378937
flat_mh,4,3,4,1.006941762302928
flat_mh,4,4,8,1.0066531505974556
flat_mh,4,5,16,1.0090218697539735
flat_mh,4,6,32,1.0099276474579206
flat_partition_dim_matched,0,1,1,1.0056199454350605
flat_partition_dim_matched,0,2,2,1.0081593042741461
flat_partition_dim_matched,0,3,4,1.0073721171729986
flat_partition_dim_matched,0,4,8,1.0098970719373777
flat_partition_dim_matched,0,5,16,1.0124761966268805
flat_partition_dim_matched,0,6,32,1.0125587328586352
flat_partition_dim_matched,1,1,1,1.0070706920268362
flat_partition_dim_matched,1,2,2,1.0074510302939377
flat_partition_dim_matched,1,3,4,1.0080025384549458
flat_partition_dim_matched,1,4,8,1.0100056768932948
flat_partition_dim_matched,1,5,16,1.008703212739297
flat_partition_dim_matched,1,6,32,1.0115445269358838
flat_partition_dim_matched,2,1,1,1.006830064447534
flat_partition_dim_matched,2,2,2,1.006694418713333
flat_partition_dim_matched,2,3,4,1.0082031350781615
flat_partition_dim_matched,2,4,8,1.0088714664708398
flat_partition_dim_matched,2,5,16,1.013505248467121
flat_partition_dim_matched,2,6,32,1.0109520157646676
flat_partition_dim_matched,3,1,1,1.0063482790775906
flat_partition_dim_matched,3,2,2,1.0061622632661946
flat_partition_dim_matched,3,3,4,1.009552964778434
flat_partition_dim_matched,3,4,8,1.01285105604348
flat_partition_dim_matched,3,5,16,1.013201879212716
flat_partition_dim_matched,3,6,32,1.0130962787877194
flat_partition_dim_matched,4,1,1,1.0059537134728955
flat_partition_dim_matched,4,2,2,1.0093180811553033
flat_partition_dim_matched,4,3,4,1.0085327497938419
flat_partition_dim_matched,4,4,8,1.0091740404082366
flat_partition_dim_matched,4,5,16,1.0108260022031232
flat_partition_dim_matched,4,6,32,1.012382349219896
matryoshka_only,0,1,1,1.0054358737319071
matryoshka_only,0,2,2,1.0074909728814678
matryoshka_only,0,3,4,1.0065297880926058
matryoshka_only,0,4,8,1.007352587722016
matryoshka_only,0,5,16,1.0083257906345595
matryoshka_only,0,6,32,1.0084599341033
matryoshka_only,1,1,1,1.0061542217275545
matryoshka_only,1,2,2,1.005830792810828
matryoshka_only,1,3,4,1.0076358089455428
matryoshka_only,1,4,8,1.0079838043209717
matryoshka_only,1,5,16,1.0064444240670436
