method,seed,level,prefix_nrmse,marginal_prefix_gain
hts_full,0,1,1.002658980212996,
hts_full,0,2,1.002559565586953,9.941462604290408e-05
hts_full,0,3,1.0065311136209532,-0.0039715480340001275
hts_full,0,4,1.0010198318587993,0.0055112817621538746
hts_full,0,5,1.0028696508516506,-0.0018498189928513042
hts_full,0,6,1.0095912283633912,-0.0067215775117406285
hts_full,1,1,1.0026407762903606,
hts_full,1,2,1.0078459493728587,-0.005205173082498016
hts_full,1,3,1.0046435612544835,0.0032023881183751435
hts_full,1,4,1.0078682182490923,-0.003224656994608832
hts_full,1,5,1.0049300521146003,0.0029381661344920484
hts_full,1,6,0.9983920160946743,0.006538036019925975
hts_full,2,1,1.005061279420977,
hts_full,2,2,1.006760871867808,-0.0016995924468310442
hts_full,2,3,1.013197107310666,-0.006436235442857985
hts_full,2,4,1.0003281711672094,0.012868936143456633
hts_full,2,5,1.0053929266134565,-0.005064755446247071
hts_full,2,6,1.0047734630325131,0.0006194635809433358
hts_full,3,1,1.0038551369935453,
hts_full,3,2,1.0067606067621386,-0.002905469768593294
hts_full,3,3,1.0036825532027347,0.003078053559403937
hts_full,3,4,1.000210375881418,0.0034721773213166607
hts_full,3,5,1.0035201317959195,-0.0033097559145014444
hts_full,3,6,1.0056855149039705,-0.0021653831080510333
hts_full,4,1,1.0068376641433916,
hts_full,4,2,1.0098527109220232,-0.003015046778631625
hts_full,4,3,1.0102760846761318,-0.00042337375410861355
hts_full,4,4,1.0027321493777637,0.007543935298368165
hts_full,4,5,1.0078178481718971,-0.005085698794133453
hts_full,4,6,1.0133196744985074,-0.005501826326610226
flat_sae,0,1,1.000014816265922,
flat_sae,0,2,0.9988944797068348,0.001120336559087165
flat_sae,0,3,1.0009537321785502,-0.002059252471715456
flat_sae,0,4,1.0007873341866933,0.00016639799185691473
flat_sae,0,5,1.000944718585789,-0.00015738439909562807
flat_sae,0,6,1.0001122867837222,0.0008324318020667132
flat_sae,1,1,1.000539725491429,
flat_sae,1,2,1.0014984359607093,-0.0009587104692803106
flat_sae,1,3,0.9996092045916665,0.001889231369042843
flat_sae,1,4,1.001940367111679,-0.002331162520012642
flat_sae,1,5,0.9993526706721974,0.002587696439481757
flat_sae,1,6,1.0010795690029815,-0.001726898330784099
flat_sae,2,1,1.0003084649791139,
flat_sae,2,2,1.0020116805367605,-0.0017032155576466312
flat_sae,2,3,1.0023057710927348,-0.00029409055597429123
flat_sae,2,4,1.0001631870722563,0.0021425840204785107
flat_sae,2,5,1.0017750295425,-0.0016118424702438183
flat_sae,2,6,1.0023670105023774,-0.0005919809598773362
flat_sae,3,1,1.0002390072937184,
flat_sae,3,2,1.0000181742710683,0.00022083302265007987
flat_sae,3,3,1.0003068743450971,-0.0002887000740288137
flat_sae,3,4,0.9999362566192088,0.00037061772588831143
flat_sae,3,5,1.0027311773236423,-0.0027949207044334345
flat_sae,3,6,0.9993068073913829,0.0034243699322593635
flat_sae,4,1,1.000834522995855,
flat_sae,4,2,1.0010124089000547,-0.00017788590419964834
flat_sae,4,3,1.0042739155827165,-0.0032615066826617856
flat_sae,4,4,1.00075525640069,0.003518659182026429
flat_sae,4,5,1.0001590337501016,0.0005962226505884516
flat_sae,4,6,1.0064680184716246,-0.00630898472152297
flat_mh,0,1,1.0009983582995738,
flat_mh,0,2,1.0002675503374623,0.0007308079621115571
flat_mh,0,3,1.0044720378863508,-0.004204487548888469
flat_mh,0,4,1.0036414618239702,0.0008305760623805725
flat_mh,0,5,1.0027690874343733,0.0008723743895968639
flat_mh,0,6,1.0054120142216567,-0.002642926787283395
flat_mh,1,1,1.0030739589542386,
