variant,seed,status,run_id,expected_under_v18,not_applicable_reason,checkpoint_path,checkpoint_hash,protocol_hash,script_hash,config_hash,dataset_hash,optimizer_updates,batch_size,sequence_length
locked_baseline_direct_head,0,pass,v18_locked_baseline_direct_head_seed0,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_baseline_direct_head/seed_0/checkpoints/step_1000.npz,fe271ed32e63f1b61ef93b01559314ea063b9f785fdecf5b68709acd368da9b9,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,f546b67cd3c2c489c87944d28a4141a7e4310b4af68b8331e274a8f802255bf2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_baseline_direct_head,1,pass,v18_locked_baseline_direct_head_seed1,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_baseline_direct_head/seed_1/checkpoints/step_1000.npz,b3c9efd975cc8772511c4833ae58e6816cc8a319454f7c59fd8e864db04d176a,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,f546b67cd3c2c489c87944d28a4141a7e4310b4af68b8331e274a8f802255bf2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_baseline_direct_head,2,pass,v18_locked_baseline_direct_head_seed2,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_baseline_direct_head/seed_2/checkpoints/step_1000.npz,1479c5b6a241dfc44d77ec2795a1f57e027cbd4b180a03a8f2fbf37574c82fbb,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,f546b67cd3c2c489c87944d28a4141a7e4310b4af68b8331e274a8f802255bf2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_baseline_direct_head,3,pass,v18_locked_baseline_direct_head_seed3,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_baseline_direct_head/seed_3/checkpoints/step_1000.npz,005e79a126765b7ef80d4dcd743b9aae492e938310c74f74079e96400b9648a9,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,f546b67cd3c2c489c87944d28a4141a7e4310b4af68b8331e274a8f802255bf2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_baseline_direct_head,4,pass,v18_locked_baseline_direct_head_seed4,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_baseline_direct_head/seed_4/checkpoints/step_1000.npz,30c5c1f665beb2687c1089cc547d021f827bfcf6367fe14e74ceb682172abf4f,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,f546b67cd3c2c489c87944d28a4141a7e4310b4af68b8331e274a8f802255bf2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_hier_x3,0,pass,v18_locked_hier_x3_seed0,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_hier_x3/seed_0/checkpoints/step_1000.npz,0dbdf2c232c0e570c001d17fc44ba7ee9a9793dc6f2a1a1c6c4d793c15bf90a4,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,3f0a77d57a5ebb379123420b4854cd06f57c79dae11bdd6399f20d4565ce4f6e,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_hier_x3,1,pass,v18_locked_hier_x3_seed1,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_hier_x3/seed_1/checkpoints/step_1000.npz,936b6872234ea45790f375c95903cf5571d648d2be56dc13d28e63433496757e,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,3f0a77d57a5ebb379123420b4854cd06f57c79dae11bdd6399f20d4565ce4f6e,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_hier_x3,2,pass,v18_locked_hier_x3_seed2,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_hier_x3/seed_2/checkpoints/step_1000.npz,15214338e54dd988d1352280a5b76c7ec1d76eb55045adcca1193cb4a78883a7,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,3f0a77d57a5ebb379123420b4854cd06f57c79dae11bdd6399f20d4565ce4f6e,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_hier_x3,3,pass,v18_locked_hier_x3_seed3,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_hier_x3/seed_3/checkpoints/step_1000.npz,05c837b26cb5523b3eae3e4c97c56b48e096c613c7da0793d54bd7be6f1968ef,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,3f0a77d57a5ebb379123420b4854cd06f57c79dae11bdd6399f20d4565ce4f6e,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_hier_x3,4,pass,v18_locked_hier_x3_seed4,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_hier_x3/seed_4/checkpoints/step_1000.npz,95c3bb8beffc11479e07f98c4974936d2ce1093fa537dce2f3a810c0a6fd48c0,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,3f0a77d57a5ebb379123420b4854cd06f57c79dae11bdd6399f20d4565ce4f6e,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
locked_no_hier_loss,0,pass,v18_locked_no_hier_loss_seed0,True,,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_locked_rerun_v18/runs/locked_no_hier_loss/seed_0/checkpoints/step_1000.npz,ff1944f3235a889e8753ed49630ade770786d3af0c579536b20afe0e8f647ec1,fd7cac88a857b81df3e0a8fa5e08f941dfc2783f473f24efbec5ef707a558905,f102101fcde49fd536f77728f305bfbc272afdfb27eb16cb37f128a3e7fea93a,eadc1f7bea259691a04406d9e61ca8d8ee108b20603090004f22398433f5130d,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1000,32,64
