method,candidate_config,seed,run_id,dataset_manifest_hash,config_hash,code_commit,optimizer,learning_rate,batch_size,sequence_length,optimizer_updates,checkpoint_schedule,evaluation_schedule,resolved_coefficients,decoder_prefix_stop_gradient,predictor_prefix_stop_gradient,dynamics_target_stop_gradient,checkpoint_final_exists,checkpoint_final_load_pass,model_derived_metrics,native_writer_pass,training_wall_clock_seconds,status
hts_full,temp_003,0,synthetic_tuning_v11_temp_003_seed0,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,365f5535c18be000,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,48.663,pass
hts_full,temp_003,1,synthetic_tuning_v11_temp_003_seed1,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1c1a1cc5dc556664,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.451,pass
hts_full,temp_003,2,synthetic_tuning_v11_temp_003_seed2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,185495508bc7ed44,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.41,pass
hts_full,temp_003,3,synthetic_tuning_v11_temp_003_seed3,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,9c1cbd83dc8b9931,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,35.911,pass
hts_full,temp_003,4,synthetic_tuning_v11_temp_003_seed4,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,242546211088ec08,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.82,pass
hts_full,temp_001,0,synthetic_tuning_v11_temp_001_seed0,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,ce26eec07b2f19ad,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.001, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,39.603,pass
hts_full,temp_001,1,synthetic_tuning_v11_temp_001_seed1,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,e6b1b7f40a66a2c7,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.001, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.445,pass
hts_full,temp_001,2,synthetic_tuning_v11_temp_001_seed2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,df57b7a40a3717ad,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.001, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,35.748,pass
hts_full,temp_001,3,synthetic_tuning_v11_temp_001_seed3,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,8d132ac6d438a639,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.001, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.463,pass
hts_full,temp_001,4,synthetic_tuning_v11_temp_001_seed4,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,e96f28498be311cc,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 1.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.001, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,35.943,pass
