SMOKE ONLY — NOT FOR PAPER FINAL
level,horizon,prediction_nrmse
1,1,1.0751536733716234
1,2,1.07499498875703
1,4,1.0757627758601638
1,8,1.076602909223489
1,16,1.0758459323375342
1,32,1.0784767028610296
2,1,1.0809127840382577
2,2,1.0812467327564794
2,4,1.081086729994853
2,8,1.0808226601878734
2,16,1.078909910349274
2,32,1.078864489603086
3,1,1.080743539233082
3,2,1.0805845835068868
3,4,1.0812378613538496
3,8,1.0819964142434129
3,16,1.0834785145535382
3,32,1.0837753285340783
4,1,1.074637960138326
4,2,1.0743501113336247
4,4,1.0750192283479825
4,8,1.076059306397543
4,16,1.074823980540291
4,32,1.0755614965491063
5,1,1.084583603423282
5,2,1.0852033889826742
5,4,1.0862649972542857
5,8,1.084362884152254
5,16,1.0837930695707663
5,32,1.0800120792718435
6,1,1.0837742696960362
6,2,1.0842103528455265
6,4,1.0830522824954922
6,8,1.0820752652836123
6,16,1.0827311295797484
6,32,1.0776943705665982
